      Step     Time          Energy         fmax
BFGS:    0 05:02:34     -326.646491       11.2308
BFGS:    1 05:57:44     -327.362568        9.3099
BFGS:    2 06:38:27     -327.882411        8.0066
BFGS:    3 07:13:07     -328.338930        6.8182
BFGS:    4 07:58:06     -328.729611        5.8098
BFGS:    5 09:35:30     -329.060751        4.9188
BFGS:    6 11:13:01     -329.346759        4.1750
BFGS:    7 12:42:05     -329.588700        3.5000
BFGS:    8 14:08:59     -329.796695        2.9500
BFGS:    9 15:41:31     -329.971926        2.4474
BFGS:   10 17:12:05     -330.119505        2.0563
BFGS:   11 18:40:51     -330.245979        1.6850
BFGS:   12 20:15:21     -330.350706        1.4027
BFGS:   13 21:45:52     -330.439954        1.1356
BFGS:   14 23:19:21     -330.515402        0.9478
BFGS:   15 00:54:07     -330.579869        0.7577
BFGS:   16 02:25:53     -330.635269        0.6144
BFGS:   17 03:58:00     -330.681484        0.4978
BFGS:   18 05:29:52     -330.721992        0.4262
BFGS:   19 06:57:42     -330.756379        0.3919
BFGS:   20 08:30:29     -330.785732        0.3881
BFGS:   21 10:02:41     -330.811907        0.3529
BFGS:   22 11:39:25     -330.834667        0.2899
BFGS:   23 13:07:09     -330.855641        0.3593
BFGS:   24 14:40:38     -330.873248        0.3184
BFGS:   25 16:12:21     -330.889651        0.2554
BFGS:   26 17:44:55     -330.905102        0.2641
BFGS:   27 19:27:36     -330.917360        0.2879
BFGS:   28 20:59:00     -330.930575        0.2496
BFGS:   29 22:35:00     -330.943191        0.2153
BFGS:   30 00:08:55     -330.954725        0.2905
BFGS:   31 01:41:15     -330.964692        0.2413
BFGS:   32 03:20:19     -330.974792        0.1985
BFGS:   33 04:57:58     -330.984202        0.2799
BFGS:   34 06:29:01     -330.994230        0.3220
BFGS:   35 08:02:34     -331.003453        0.3586
BFGS:   36 09:37:11     -331.014302        0.4354
BFGS:   37 11:08:50     -331.026644        0.4637
BFGS:   38 12:40:10     -331.039668        0.4602
BFGS:   39 14:09:14     -331.053625        0.5036
BFGS:   40 15:42:49     -331.070017        0.4521
BFGS:   41 17:14:41     -331.086840        0.5421
BFGS:   42 18:47:39     -331.105774        0.5156
BFGS:   43 20:22:12     -331.124626        0.5054
BFGS:   44 21:55:05     -331.143496        0.5196
BFGS:   45 23:25:46     -331.163174        0.5253
BFGS:   46 23:57:40     -331.182517        0.5353
