      Step     Time          Energy         fmax
BFGS:    0 04:05:04     -290.788406        0.2276
BFGS:    1 04:23:31     -290.789760        0.1468
BFGS:    2 04:44:06     -290.791006        0.1274
BFGS:    3 06:10:24     -290.792792        0.1520
BFGS:    4 07:54:17     -290.794449        0.1599
BFGS:    5 10:15:01     -290.797209        0.1292
BFGS:    6 12:17:23     -290.799249        0.1332
BFGS:    7 14:46:09     -290.800873        0.1134
BFGS:    8 17:28:55     -290.802902        0.1343
BFGS:    9 20:15:16     -290.804676        0.1178
BFGS:   10 22:35:37     -290.806044        0.1105
BFGS:   11 00:52:07     -290.807252        0.0912
BFGS:   12 03:03:32     -290.808278        0.0913
BFGS:   13 04:30:18     -290.809374        0.0998
BFGS:   14 06:34:32     -290.810873        0.1324
BFGS:   15 08:44:06     -290.813536        0.1839
BFGS:   16 10:44:38     -290.816012        0.2071
BFGS:   17 13:03:51     -290.818615        0.1793
BFGS:   18 14:20:24     -290.821369        0.1621
BFGS:   19 15:52:14     -290.823950        0.1401
BFGS:   20 18:04:26     -290.826215        0.1732
BFGS:   21 19:43:15     -290.829485        0.1942
BFGS:   22 20:52:40     -290.832012        0.2500
BFGS:   23 23:57:39     -290.835491        0.2411
BFGS:   24 03:04:07     -290.837688        0.1739
BFGS:   25 04:35:34     -290.840407        0.1179
BFGS:   26 05:40:53     -290.841434        0.0827
BFGS:   27 06:50:11     -290.843171        0.1165
BFGS:   28 08:22:37     -290.843455        0.2838
BFGS:   29 09:36:07     -290.844078        0.2745
BFGS:   30 10:44:12     -290.847964        0.1325
BFGS:   31 11:39:06     -290.848996        0.1001
BFGS:   32 12:55:19     -290.854391        0.1978
BFGS:   33 14:34:36     -290.858228        0.1812
BFGS:   34 16:06:12     -290.861935        0.2422
BFGS:   35 18:02:35     -290.868090        0.2693
