      Step     Time          Energy         fmax
BFGS:    0 07:43:41     -272.380997        0.4164
BFGS:    1 08:47:04     -272.385481        0.2625
BFGS:    2 11:11:55     -272.390705        0.2448
BFGS:    3 13:52:29     -272.401604        0.4607
BFGS:    4 16:46:05     -272.409974        0.3992
BFGS:    5 18:57:28     -272.416519        0.2439
BFGS:    6 21:37:40     -272.422589        0.2394
BFGS:    7 23:37:02     -272.429293        0.3315
BFGS:    8 01:15:04     -272.435157        0.3448
BFGS:    9 02:36:31     -272.438917        0.1925
BFGS:   10 04:18:34     -272.441384        0.1634
BFGS:   11 06:18:14     -272.443550        0.1613
BFGS:   12 08:58:31     -272.445935        0.1784
BFGS:   13 11:01:22     -272.448566        0.1555
BFGS:   14 13:26:49     -272.451249        0.1576
BFGS:   15 16:12:15     -272.454416        0.2019
BFGS:   16 18:23:18     -272.457210        0.1557
BFGS:   17 20:14:56     -272.459648        0.1404
BFGS:   18 22:13:33     -272.461765        0.1301
BFGS:   19 23:39:48     -272.463784        0.1729
BFGS:   20 01:04:24     -272.465829        0.1787
BFGS:   21 03:30:05     -272.466854        0.1171
BFGS:   22 05:46:11     -272.468003        0.0916
BFGS:   23 08:07:17     -272.468806        0.0560
BFGS:   24 10:07:44     -272.469559        0.0862
BFGS:   25 11:24:03     -272.470477        0.0924
BFGS:   26 13:39:44     -272.471552        0.1071
BFGS:   27 16:00:37     -272.472835        0.1180
BFGS:   28 18:37:35     -272.475191        0.1386
BFGS:   29 20:44:44     -272.476674        0.1596
BFGS:   30 22:39:49     -272.478703        0.1300
BFGS:   31 00:26:44     -272.479779        0.0939
BFGS:   32 02:09:38     -272.481029        0.1031
BFGS:   33 04:22:00     -272.483160        0.1400
BFGS:   34 06:31:40     -272.485335        0.1551
BFGS:   35 08:31:53     -272.486463        0.1400
BFGS:   36 10:24:33     -272.487873        0.0948
BFGS:   37 12:12:30     -272.489418        0.1113
BFGS:   38 13:39:17     -272.490568        0.1175
BFGS:   39 15:23:37     -272.492389        0.1338
BFGS:   40 17:15:11     -272.494575        0.1238
BFGS:   41 19:46:16     -272.496255        0.1603
BFGS:   42 21:55:40     -272.498542        0.1427
BFGS:   43 23:41:36     -272.500776        0.1445
BFGS:   44 01:58:19     -272.502841        0.1546
BFGS:   45 04:24:32     -272.505083        0.1535
BFGS:   46 06:51:08     -272.507440        0.1606
BFGS:   47 08:56:23     -272.508991        0.1691
BFGS:   48 10:17:43     -272.507984        0.3081
BFGS:   49 11:46:00     -272.514367        0.1596
BFGS:   50 13:10:30     -272.516456        0.1393
BFGS:   51 14:35:02     -272.520166        0.1259
BFGS:   52 16:22:40     -272.524164        0.2067
BFGS:   53 19:16:31     -272.525913        0.2450
BFGS:   54 21:10:23     -272.528762        0.1459
BFGS:   55 23:39:46     -272.531399        0.1099
BFGS:   56 01:37:08     -272.532805        0.1424
BFGS:   57 03:30:44     -272.534761        0.2048
BFGS:   58 05:42:04     -272.537601        0.2034
BFGS:   59 07:38:14     -272.539470        0.1906
BFGS:   60 08:33:39     -272.541713        0.1195
BFGS:   61 10:29:47     -272.543880        0.1023
BFGS:   62 12:47:34     -272.545150        0.1212
BFGS:   63 15:18:21     -272.546828        0.0938
BFGS:   64 18:01:40     -272.547861        0.1323
BFGS:   65 19:54:14     -272.548986        0.0873
BFGS:   66 21:48:38     -272.550482        0.0672
BFGS:   67 23:35:11     -272.551410        0.0709
BFGS:   68 02:16:28     -272.552520        0.0839
BFGS:   69 04:10:55     -272.553466        0.0812
BFGS:   70 05:51:01     -272.554836        0.0695
BFGS:   71 08:16:26     -272.556808        0.0761
BFGS:   72 10:58:07     -272.558596        0.1270
BFGS:   73 13:43:51     -272.560154        0.1529
BFGS:   74 17:43:04     -272.562552        0.1344
BFGS:   75 21:31:42     -272.564099        0.1475
BFGS:   76 00:38:52     -272.565681        0.1412
      Step     Time          Energy         fmax
BFGS:    0 13:09:21     -272.567255        0.1131
BFGS:    1 14:51:30     -272.569363        0.1645
BFGS:    2 18:16:02     -272.571926        0.2370
BFGS:    3 21:39:53     -272.573908        0.2365
BFGS:    4 23:18:18     -272.576610        0.2201
BFGS:    5 00:49:39     -272.579825        0.1847
BFGS:    6 02:24:00     -272.582723        0.2092
BFGS:    7 04:20:34     -272.586672        0.2419
BFGS:    8 06:38:10     -272.590317        0.2920
BFGS:    9 08:57:39     -272.594538        0.3107
BFGS:   10 11:15:01     -272.597912        0.3256
BFGS:   11 13:05:33     -272.601017        0.3474
BFGS:   12 14:59:11     -272.607983        0.4123
BFGS:   13 16:40:43     -272.612384        0.4557
BFGS:   14 18:29:54     -272.618809        0.3987
BFGS:   15 21:20:54     -272.624096        0.3532
BFGS:   16 00:47:31     -272.629606        0.3795
BFGS:   17 03:49:59     -272.635474        0.4019
BFGS:   18 07:57:34     -272.643567        0.4250
BFGS:   19 10:40:06     -272.649784        0.4271
BFGS:   20 13:14:52     -272.657986        0.4430
BFGS:   21 16:12:39     -272.664604        0.5599
BFGS:   22 18:36:16     -272.669812        0.7686
