      Step     Time          Energy         fmax
BFGS:    0 09:40:13     -306.634997        8.6888
BFGS:    1 16:30:31     -307.204316        5.6126
BFGS:    2 19:58:12     -307.563070        3.9517
BFGS:    3 22:33:17     -307.817275        2.7084
BFGS:    4 01:09:39     -307.996992        1.7803
BFGS:    5 04:37:44     -308.118052        1.1520
BFGS:    6 08:41:40     -308.197098        0.7592
BFGS:    7 13:51:10     -308.247789        0.5805
BFGS:    8 18:01:57     -308.279059        0.3386
BFGS:    9 21:24:49     -308.298368        0.2476
BFGS:   10 00:11:38     -308.311390        0.2004
BFGS:   11 04:16:32     -308.320539        0.2862
BFGS:   12 07:41:02     -308.328868        0.2892
BFGS:   13 10:51:26     -308.338214        0.3015
BFGS:   14 13:19:50     -308.344944        0.3081
BFGS:   15 15:48:32     -308.353915        0.2978
BFGS:   16 17:45:04     -308.362998        0.2884
BFGS:   17 19:23:49     -308.370778        0.2786
BFGS:   18 21:22:04     -308.380879        0.2528
BFGS:   19 23:24:31     -308.390402        0.2574
BFGS:   20 01:38:53     -308.398093        0.2105
BFGS:   21 04:53:41     -308.407810        0.2200
BFGS:   22 07:38:20     -308.416936        0.3650
BFGS:   23 09:37:35     -308.426697        0.2884
BFGS:   24 11:08:11     -308.435583        0.4423
BFGS:   25 12:40:39     -308.445278        0.3719
BFGS:   26 14:39:38     -308.455039        0.4451
BFGS:   27 16:32:29     -308.466117        0.5052
BFGS:   28 18:11:26     -308.476540        0.3668
BFGS:   29 20:15:37     -308.487605        0.3338
BFGS:   30 23:18:04     -308.497070        0.2418
BFGS:   31 01:32:50     -308.504016        0.1664
BFGS:   32 03:02:36     -308.508635        0.1625
BFGS:   33 03:58:17     -308.512127        0.3511
BFGS:   34 05:42:57     -308.522825        0.8326
BFGS:   35 08:09:18     -308.531628        0.8844
BFGS:   36 10:16:52     -308.542089        0.5674
BFGS:   37 12:01:42     -308.547616        0.2053
BFGS:   38 13:15:11     -308.551056        0.2063
BFGS:   39 14:38:31     -308.556914        0.4489
BFGS:   40 16:19:11     -308.565082        0.5687
BFGS:   41 17:42:44     -308.576479        0.3746
BFGS:   42 19:01:10     -308.580782        0.2290
BFGS:   43 20:07:00     -308.584675        0.1883
BFGS:   44 21:55:03     -308.591720        0.4291
BFGS:   45 23:29:18     -308.594629        0.3327
BFGS:   46 01:01:13     -308.598544        0.1438
BFGS:   47 02:19:00     -308.601342        0.1540
BFGS:   48 03:38:23     -308.606176        0.1648
BFGS:   49 05:18:27     -308.608042        0.1782
BFGS:   50 07:38:04     -308.610904        0.1286
BFGS:   51 10:19:25     -308.617345        0.1244
BFGS:   52 13:30:14     -308.621713        0.1563
BFGS:   53 16:30:43     -308.625452        0.2148
BFGS:   54 18:36:16     -308.630907        0.1573
BFGS:   55 20:59:28     -308.634825        0.1433
BFGS:   56 22:52:31     -308.636205        0.1270
BFGS:   57 00:33:37     -308.638680        0.2075
BFGS:   58 03:03:18     -308.641898        0.2138
BFGS:   59 04:35:13     -308.645358        0.1840
BFGS:   60 05:55:56     -308.646113        0.1928
BFGS:   61 06:59:13     -308.649328        0.1343
BFGS:   62 08:33:04     -308.655146        0.1801
BFGS:   63 10:30:45     -308.660061        0.1843
BFGS:   64 12:46:03     -308.663468        0.0937
BFGS:   65 14:57:31     -308.666534        0.0685
BFGS:   66 17:20:22     -308.669964        0.1137
BFGS:   67 19:26:26     -308.672665        0.1794
BFGS:   68 21:40:48     -308.675318        0.2670
BFGS:   69 23:51:31     -308.679516        0.2559
      Step     Time          Energy         fmax
BFGS:    0 10:59:28     -308.683193        0.2688
BFGS:    1 11:49:44     -308.688375        0.2395
BFGS:    2 13:20:36     -308.691280        0.1667
BFGS:    3 15:43:47     -308.695836        0.1628
BFGS:    4 18:13:09     -308.697242        0.1625
BFGS:    5 20:34:37     -308.703580        0.1226
BFGS:    6 23:14:03     -308.709112        0.1272
BFGS:    7 23:34:52     -308.712609        0.1380
BFGS:    8 00:03:51     -308.717701        0.1837
BFGS:    9 00:23:07     -308.722264        0.2280
