      Step     Time          Energy         fmax
BFGS:    0 18:04:56     -303.572267        4.7460
BFGS:    1 20:43:18     -304.253126        3.7207
BFGS:    2 23:16:35     -304.836221        2.8229
BFGS:    3 01:30:51     -305.352324        2.0511
BFGS:    4 04:49:21     -305.801099        2.0325
BFGS:    5 07:09:09     -306.147509        2.0393
BFGS:    6 09:34:48     -306.431095        1.9845
BFGS:    7 11:28:49     -306.676259        1.9408
BFGS:    8 13:28:15     -306.893031        1.8501
BFGS:    9 15:21:10     -307.088152        1.7564
BFGS:   10 17:53:07     -307.264498        1.6491
BFGS:   11 21:16:52     -307.421651        1.5106
BFGS:   12 00:36:54     -307.559654        1.3160
BFGS:   13 03:11:30     -307.678092        1.0590
BFGS:   14 06:01:34     -307.775198        0.8620
BFGS:   15 08:19:17     -307.846999        0.9036
BFGS:   16 10:15:20     -307.906124        0.9262
BFGS:   17 12:18:19     -307.965835        0.9107
BFGS:   18 15:08:06     -308.038834        0.8607
BFGS:   19 17:36:17     -308.120459        0.7860
BFGS:   20 20:29:21     -308.208789        0.7203
BFGS:   21 00:02:03     -308.283754        0.6600
BFGS:   22 03:00:03     -308.339031        0.5452
BFGS:   23 04:36:35     -308.367983        0.3749
BFGS:   24 06:14:19     -308.381656        0.3932
BFGS:   25 08:31:43     -308.410191        0.5159
BFGS:   26 10:11:40     -308.443891        0.7032
BFGS:   27 11:36:34     -308.477410        0.7470
BFGS:   28 13:33:31     -308.510834        0.7415
BFGS:   29 15:40:30     -308.542122        0.6217
BFGS:   30 17:48:52     -308.564863        0.4470
BFGS:   31 20:28:39     -308.581281        0.2823
BFGS:   32 23:03:14     -308.589877        0.2416
BFGS:   33 01:16:50     -308.599061        0.2600
BFGS:   34 03:54:29     -308.611288        0.2435
BFGS:   35 06:12:30     -308.618049        0.3143
BFGS:   36 08:10:22     -308.631321        0.4839
BFGS:   37 10:05:50     -308.647104        0.4501
BFGS:   38 11:48:36     -308.662326        0.3402
BFGS:   39 13:31:58     -308.675676        0.2350
BFGS:   40 15:38:25     -308.685601        0.2221
BFGS:   41 17:28:45     -308.692157        0.2154
