      Step     Time          Energy         fmax
BFGS:    0 21:02:19     -290.697837        0.7165
BFGS:    1 23:33:17     -290.708747        0.3351
BFGS:    2 02:17:12     -290.722432        0.4002
BFGS:    3 05:07:15     -290.744687        0.7656
BFGS:    4 06:51:07     -290.768143        0.7750
BFGS:    5 08:39:17     -290.789324        0.4734
BFGS:    6 10:24:31     -290.808079        0.4669
BFGS:    7 11:14:28     -290.827458        0.5338
BFGS:    8 13:17:11     -290.847568        0.5605
BFGS:    9 15:50:14     -290.865721        0.5253
BFGS:   10 17:45:04     -290.882824        0.4031
BFGS:   11 19:29:36     -290.898597        0.3727
BFGS:   12 20:38:11     -290.916638        0.4948
BFGS:   13 21:43:59     -290.932379        0.5520
BFGS:   14 23:06:47     -290.951812        0.5720
BFGS:   15 01:15:14     -290.967459        0.5319
BFGS:   16 04:15:48     -290.987954        0.4363
BFGS:   17 06:34:19     -291.001970        0.2903
BFGS:   18 08:51:57     -291.015269        0.3369
BFGS:   19 10:44:06     -291.024041        0.3265
BFGS:   20 13:07:34     -291.032073        0.2542
BFGS:   21 14:51:03     -291.036332        0.1818
BFGS:   22 16:18:45     -291.039339        0.1853
BFGS:   23 17:32:06     -291.041916        0.2415
BFGS:   24 18:56:30     -291.044540        0.2114
